source,target,value,distance_end,code_site,date
Le Rhône_99.0,Le Rhône_61.0,2649.354,99.0,V5480001,2023-11-13
Le Rhône_99.0,Le Rhône_61.0,5258.896,99.0,V5480001,2023-12-14
Le Rhône_99.0,Le Rhône_61.0,2524.729,99.0,V5480001,2023-11-12
Le Rhône_99.0,Le Rhône_61.0,3317.021,99.0,V5480001,2023-12-06
Le Rhône_99.0,Le Rhône_61.0,2516.25,99.0,V5480001,2023-12-27
Le Rhône_99.0,Le Rhône_61.0,4002.396,99.0,V5480001,2023-12-18
Le Rhône_99.0,Le Rhône_61.0,1949.979,99.0,V5480001,2023-11-27
Le Rhône_99.0,Le Rhône_61.0,3236.396,99.0,V5480001,2023-11-22
Le Rhône_99.0,Le Rhône_61.0,3115.792,99.0,V5480001,2023-11-04
Le Rhône_99.0,Le Rhône_61.0,4411.75,99.0,V5480001,2023-12-17
Le Rhône_99.0,Le Rhône_61.0,3330.271,99.0,V5480001,2023-12-01
Le Rhône_99.0,Le Rhône_61.0,3277.354,99.0,V5480001,2023-12-07
Le Rhône_99.0,Le Rhône_61.0,2406.625,99.0,V5480001,2023-12-28
Le Rhône_99.0,Le Rhône_61.0,3116.688,99.0,V5480001,2023-11-14
Le Rhône_99.0,Le Rhône_61.0,2160.917,99.0,V5480001,2023-11-30
Le Rhône_99.0,Le Rhône_61.0,4804.292,99.0,V5480001,2023-12-16
Le Rhône_99.0,Le Rhône_61.0,3423.396,99.0,V5480001,2023-11-21
Le Rhône_99.0,Le Rhône_61.0,3096.833,99.0,V5480001,2023-11-03
Le Rhône_99.0,Le Rhône_61.0,5258.625,99.0,V5480001,2023-12-15
Le Rhône_99.0,Le Rhône_61.0,3853.5,99.0,V5480001,2023-11-15
Le Rhône_99.0,Le Rhône_61.0,2067.688,99.0,V5480001,2023-12-29
Le Rhône_99.0,Le Rhône_61.0,3902.708,99.0,V5480001,2023-12-19
Le Rhône_99.0,Le Rhône_61.0,3113.062,99.0,V5480001,2023-11-23
Le Rhône_99.0,Le Rhône_61.0,3024.354,99.0,V5480001,2023-11-05
Le Rhône_99.0,Le Rhône_61.0,2293.938,99.0,V5480001,2023-11-09
Le Rhône_99.0,Le Rhône_61.0,2974.646,99.0,V5480001,2023-12-24
Le Rhône_99.0,Le Rhône_61.0,2849.146,99.0,V5480001,2023-11-07
Le Rhône_99.0,Le Rhône_61.0,2631.188,99.0,V5480001,2023-11-25
Le Rhône_99.0,Le Rhône_61.0,2581.958,99.0,V5480001,2023-11-08
Le Rhône_99.0,Le Rhône_61.0,3219.479,99.0,V5480001,2023-12-23
Le Rhône_99.0,Le Rhône_61.0,4138.125,99.0,V5480001,2023-12-04
Le Rhône_99.0,Le Rhône_61.0,3130.583,99.0,V5480001,2023-12-22
Le Rhône_99.0,Le Rhône_61.0,2672.5,99.0,V5480001,2023-12-25
Le Rhône_99.0,Le Rhône_61.0,3177.188,99.0,V5480001,2023-11-06
Le Rhône_99.0,Le Rhône_61.0,2400.833,99.0,V5480001,2023-11-11
Le Rhône_99.0,Le Rhône_61.0,2836.375,99.0,V5480001,2023-11-24
Le Rhône_99.0,Le Rhône_61.0,3352.854,99.0,V5480001,2023-12-21
