source,target,value,distance_end,code_site,date
Le Rhône_99.0,Le Rhône_61.0,1323063.0,99.0,V5480001,2023-03-01
Le Rhône_99.0,Le Rhône_61.0,1775241.0,99.0,V5480001,2023-01-01
Le Rhône_99.0,Le Rhône_61.0,663351.0,99.0,V5480001,2023-09-01
Le Rhône_99.0,Le Rhône_61.0,2886876.0,99.0,V5480001,2023-11-01
Le Rhône_99.0,Le Rhône_61.0,1119071.0,99.0,V5480001,2023-10-01
Le Rhône_99.0,Le Rhône_61.0,2369639.0,99.0,V5480001,2024-01-01
Le Rhône_99.0,Le Rhône_61.0,839549.0,99.0,V5480001,2023-02-01
Le Rhône_99.0,Le Rhône_61.0,3525166.0,99.0,V5480001,2023-12-01
Le Rhône_99.0,Le Rhône_61.0,1153572.0,99.0,V5480001,2023-05-01
Le Rhône_99.0,Le Rhône_61.0,668256.0,99.0,V5480001,2023-08-01
Le Rhône_99.0,Le Rhône_61.0,791914.0,99.0,V5480001,2023-07-01
Le Rhône_99.0,Le Rhône_61.0,1114065.0,99.0,V5480001,2023-06-01
Le Rhône_99.0,Le Rhône_61.0,1254369.0,99.0,V5480001,2023-04-01
Le Rhône_521.0,Le Rhône_493.0,597749.0,521.0,V1000010,2023-11-01
Le Rhône_521.0,Le Rhône_493.0,410118.0,521.0,V1000010,2023-07-01
Le Rhône_521.0,Le Rhône_493.0,623362.0,521.0,V1000010,2023-12-01
Le Rhône_521.0,Le Rhône_493.0,441401.0,521.0,V1000010,2023-06-01
Le Rhône_521.0,Le Rhône_493.0,227122.0,521.0,V1000010,2023-02-01
Le Rhône_521.0,Le Rhône_493.0,301270.0,521.0,V1000010,2023-10-01
Le Rhône_521.0,Le Rhône_493.0,274206.0,521.0,V1000010,2023-04-01
Le Rhône_521.0,Le Rhône_493.0,341202.0,521.0,V1000010,2023-05-01
Le Rhône_521.0,Le Rhône_493.0,318458.0,521.0,V1000010,2023-09-01
Le Rhône_521.0,Le Rhône_493.0,344145.0,521.0,V1000010,2023-01-01
Le Rhône_521.0,Le Rhône_493.0,369549.0,521.0,V1000010,2023-08-01
Le Rhône_521.0,Le Rhône_493.0,357190.0,521.0,V1000010,2023-03-01
Le Rhône_521.0,Le Rhône_493.0,480410.0,521.0,V1000010,2024-01-01
Le Rhône_493.0,Le Rhône_481.0,330597.0,493.0,V1020020,2023-10-01
Le Rhône_493.0,Le Rhône_481.0,353697.0,493.0,V1020020,2023-05-01
Le Rhône_493.0,Le Rhône_481.0,297469.0,493.0,V1020020,2023-04-01
Le Rhône_493.0,Le Rhône_481.0,380006.0,493.0,V1020020,2023-03-01
Le Rhône_493.0,Le Rhône_481.0,359952.0,493.0,V1020020,2023-01-01
Le Rhône_493.0,Le Rhône_481.0,392187.0,493.0,V1020020,2023-08-01
Le Rhône_493.0,Le Rhône_481.0,684327.0,493.0,V1020020,2023-12-01
Le Rhône_493.0,Le Rhône_481.0,660789.0,493.0,V1020020,2023-11-01
Le Rhône_493.0,Le Rhône_481.0,426320.0,493.0,V1020020,2023-07-01
Le Rhône_493.0,Le Rhône_481.0,446599.0,493.0,V1020020,2023-06-01
Le Rhône_493.0,Le Rhône_481.0,537033.0,493.0,V1020020,2024-01-01
Le Rhône_493.0,Le Rhône_481.0,225963.0,493.0,V1020020,2023-02-01
Le Rhône_493.0,Le Rhône_481.0,345047.0,493.0,V1020020,2023-09-01
Le Rhône_481.0,Le Rhône_389.0,353798.0,481.0,V1264024,2023-10-01
Le Rhône_481.0,Le Rhône_389.0,344665.0,481.0,V1264024,2023-04-01
Le Rhône_481.0,Le Rhône_389.0,768242.0,481.0,V1264024,2023-11-01
Le Rhône_481.0,Le Rhône_389.0,441761.0,481.0,V1264024,2023-06-01
Le Rhône_481.0,Le Rhône_389.0,429474.0,481.0,V1264024,2023-03-01
Le Rhône_481.0,Le Rhône_389.0,328303.0,481.0,V1264024,2023-09-01
Le Rhône_481.0,Le Rhône_389.0,376399.0,481.0,V1264024,2023-05-01
