geometry,river_name,distance,code_site
POINT (840902.9999200443 6579066.004548402),La Saône,80.0,U4300010
POINT (842344.9999130559 6584039.004512467),La Saône,85.0,U4300011
POINT (838771.999859643 6563527.004504992),La Saône,62.0,U4300030
POINT (837368.9999245183 6539352.0045778),La Saône,31.0,U4700010
POINT (842352.9999168763 6528861.004496109),La Saône,17.0,U4710010
POINT (842259.9998667645 6520143.004568135),La Saône,5.0,U4720020
POINT (842259.9998667645 6520143.004568135),Le Rhône,336.0,U4720020
POINT (928712.9998617977 6564753.004506458),Le Rhône,521.0,V1000010
POINT (917351.6742524179 6550665.813135035),Le Rhône,493.0,V1020020
POINT (917168.9998547963 6552526.004570985),Le Rhône,495.0,V1020021
POINT (919286.9998016777 6544846.004574726),Le Rhône,545.0,V1130001
POINT (917538.9998556755 6531525.004572979),Le Rhône,470.0,V1260020
POINT (918885.9998536928 6541111.004496245),Le Rhône,481.0,V1264022
POINT (918885.9998536928 6541111.004496245),Le Rhône,481.0,V1264024
POINT (909967.999826391 6515914.004592394),Le Rhône,447.0,V1440020
POINT (881482.9998298552 6533936.004526777),Le Rhône,389.0,V1630020
POINT (904771.9998200032 6592077.004533829),L'Ain,101.0,V2322010
POINT (904817.9998713848 6592109.004510436),L'Ain,101.0,V2322012
POINT (880641.999827223 6552375.004584547),L'Ain,41.0,V2712010
POINT (880641.999827223 6552375.004584547),L'Ain,41.0,V2712012
POINT (873117.193475214 6536559.824112754),L'Ain,19.0,V2942010
POINT (842866.9999066773 6520405.004490435),La Saône,5.0,V3000020
POINT (842866.9999066773 6520405.004490435),Le Rhône,337.0,V3000020
POINT (867861.553704836 6523971.368106545),Le Rhône,366.0,V3009113
POINT (840880.999912333 6502711.0044980645),Le Rhône,317.0,V3030020
POINT (838918.9999243724 6499580.004571671),Le Rhône,313.0,V3135811
POINT (842142.0871668565 6465824.59355443),Le Rhône,267.0,V3440001
POINT (848658.9999006483 6427628.004571291),Le Rhône,217.0,V4010010
POINT (846746.9998753599 6424071.004501506),Le Rhône,213.0,V4010012
POINT (812692.9999010552 6424748.0045044115),L'Eyrieux,52.0,V4124010
POINT (809900.872094349 6427489.348957244),L'Eyrieux,58.0,V4124011
POINT (820427.9998805015 6421536.004557631),L'Eyrieux,39.0,V4145211
POINT (827726.9999130692 6413765.004520065),L'Eyrieux,23.0,V4154010
POINT (832156.9999328791 6415398.0045503825),L'Eyrieux,16.0,V4174010
POINT (840770.9328868927 6412263.733215442),Le Rhône,197.0,V4174020
POINT (834933.9998669417 6414412.004599029),L'Eyrieux,11.0,V4174021
POINT (893872.9998369899 6394070.004524898),La Drôme,83.0,V4214010
POINT (888088.5971881994 6408194.71981234),La Drôme,65.0,V4230003
POINT (874986.9999005079 6401443.004520256),La Drôme,42.0,V4264010
POINT (841367.9998972586 6409281.004542687),La Drôme,2.0,V4284021
POINT (845599.9999119164 6409145.004490653),La Drôme,7.0,V4287012
POINT (837227.9999191161 6408192.0045178905),L'Ouvèze,2.0,V4300001
POINT (838628.9621045485 6407900.340035747),L'Ouvèze,0.0,V4300003
POINT (838628.9621045485 6407900.340035747),Le Rhône,192.0,V4300003
POINT (835313.9998646885 6377312.004508362),Le Rhône,158.0,V4530010
POINT (831247.9998911195 6364615.004544967),Le Rhône,144.0,V4570010
POINT (801863.9999031953 6397355.004496206),L'Ardèche,99.0,V5004020
POINT (800662.9999501464 6397590.004513689),L'Ardèche,101.0,V5004030
POINT (802137.9999483253 6397669.004542586),L'Ardèche,99.0,V5006210
POINT (796257.3701442076 6397500.62212304),L'Ardèche,107.0,V5006216
POINT (799741.1522581396 6397851.785155282),L'Ardèche,103.0,V5006217
POINT (811990.9999124261 6383610.004528962),L'Ardèche,72.0,V5014010
POINT (810686.9999391565 6392945.004516683),L'Ardèche,85.0,V5014030
POINT (802315.9999103209 6397186.004564272),L'Ardèche,99.0,V5014040
POINT (808380.9998976997 6396559.004539346),L'Ardèche,89.0,V5015210
POINT (805712.9999284588 6373093.00450154),L'Ardèche,54.0,V5035022
POINT (804234.9999555947 6370434.004529505),L'Ardèche,51.0,V5048810
POINT (810286.9999333079 6367664.004578347),L'Ardèche,41.0,V5054010
POINT (823715.9998873624 6358435.004522798),L'Ardèche,12.0,V5064010
POINT (831650.9999215829 6352620.004528982),L'Ardèche,0.0,V5131010
POINT (831650.9999215829 6352620.004528982),Le Rhône,132.0,V5131010
POINT (837419.8049577989 6341072.515213295),Le Rhône,116.0,V5234011
POINT (887062.9998872301 6370656.004545547),L'Eygues,85.0,V5304010
POINT (882882.999864174 6373279.004560107),L'Eygues,78.0,V5324010
POINT (870876.999904929 6364698.004560811),L'Eygues,57.0,V5334010
POINT (848354.1831256499 6343502.624115648),L'Eygues,20.0,V5354010
POINT (783578.44681763 6358343.148280338),La Cèze,104.0,V5404025
POINT (783655.9999139961 6358302.00453788),La Cèze,104.0,V5404039
POINT (781627.442942991 6358623.977490002),La Cèze,107.0,V5404041
POINT (783268.4806718262 6356952.235664427),La Cèze,102.0,V5410004
POINT (787229.5465298516 6355838.21169532),La Cèze,94.0,V5424010
POINT (787209.9999654981 6355521.004510522),La Cèze,93.0,V5425213
POINT (795775.565800638 6352242.680188532),La Cèze,81.0,V5430002
POINT (802714.9999560984 6349905.004490413),La Cèze,66.0,V5445023
POINT (801734.9999017989 6349324.004545068),La Cèze,67.0,V5445024
POINT (803805.4212944881 6350280.431226864),La Cèze,64.0,V5454010
POINT (815528.9999183062 6350891.004515922),La Cèze,43.0,V5464010
POINT (814197.4278280442 6352750.083714994),La Cèze,46.0,V5464015
POINT (817263.9999150772 6347346.004509023),La Cèze,36.0,V5465710
POINT (822031.999884956 6344585.004586323),La Cèze,25.0,V5474010
POINT (829564.9161866468 6342566.813135451),La Cèze,16.0,V5474015
POINT (829634.9999156275 6342685.004539864),La Cèze,16.0,V5474016
POINT (835262.9999400777 6336466.004502837),La Cèze,2.0,V5474027
POINT (844456.999914428 6328535.004562317),Le Rhône,99.0,V5480001
POINT (886468.6180822307 6359040.783179414),L'Ouvèze,102.0,V6010002
POINT (880019.9999044382 6353047.004586251),L'Ouvèze,90.0,V6022010
POINT (870666.9999077681 6350093.004549149),L'Ouvèze,77.0,V6042010
POINT (872399.1085815383 6351701.364654894),L'Ouvèze,79.0,V6042013
